Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
7075,1ba3,"Blanco SO Tac 1","D","Sheriff Tac 1","Law Tac","Blanco County"
7076,1ba4,"Blanco SO Tac 2","D","Sheriff Tac 2","Law Tac","Blanco County"
7088,1bb0,"Blanco FD/EMS 1","D","Fire/EMS Dispatch 1","Fire Dispatch","Blanco County"
7089,1bb1,"Blanco FD/EMS 2","D","Fire/EMS Dispatch 2","Fire-Tac","Blanco County"
7090,1bb2,"Blanco FD/EMS 3","D","Fire/EMS Tac 3","Fire-Tac","Blanco County"
7112,1bc8,"Blanco Police","D","Blanco Police","Law Dispatch","Blanco County"
7136,1be0,"BlancoEMS N Tac1","D","EMS North Tac 1","EMS-Tac","Blanco County"
7141,1be5,"Round Mtn VFD 1","D","Round Mountain VFD Ch 1","Fire-Tac","Blanco County"
7142,1be6,"Round Mtn VFD 2","D","Round Mountain VFD Ch 2","Fire-Tac","Blanco County"
7145,1be9,"JohnCity FD Tac1","D","Johnson City Fire Tac 1","Fire-Tac","Blanco County"
7148,1bec,"Blanco FD Tac","D","Blanco Fire Tac","Fire-Tac","Blanco County"
7152,1bf0,"Blanco ISD Buses","D","Blanco ISD Buses","Schools","Blanco County"
7162,1bfa,"Blanco Co Roads","D","County Road and Bridge","Public Works","Blanco County"
7165,1bfd,"Burnet Ops 1","D","Operations 1 "BU OP1"","Multi-Tac","Burnet County - Incident Command"
7166,1bfe,"Burnet Ops 2","D","Operations 2 "BU OP2"","Multi-Tac","Burnet County - Incident Command"
7167,1bff,"Burnet Ops 3","D","Operations 3 "BU OP3"","Multi-Tac","Burnet County - Incident Command"
7168,1c00,"Burnet Ops 4","D","Operations 4 "BU OP4"","Multi-Tac","Burnet County - Incident Command"
7169,1c01,"Burnet Ops 5","D","Operations 5 "BU OP5"","Multi-Tac","Burnet County - Incident Command"
7170,1c02,"Burnet SO 1 Disp","D","Sheriff Dispatch 1","Law Dispatch","Burnet County - Law Enforcement"
7171,1c03,"Burnet SO 2 Disp","D","Sheriff Dispatch 2 South Units","Law Dispatch","Burnet County - Law Enforcement"
7174,1c06,"Burnet SO Tac 1","D","Sheriff Tactical 1","Law Tac","Burnet County - Law Enforcement"
7175,1c07,"Burnet SO Tac 2","D","Sheriff Tactical 2","Law Tac","Burnet County - Law Enforcement"
7176,1c08,"Burnet SO Talk","D","Sheriff Talk","Law Talk","Burnet County - Law Enforcement"
7177,1c09,"Burnet SO SOU 1","D","Sheriff Special Ops Unit 1","Law Tac","Burnet County - Law Enforcement"
7178,1c0a,"Burnet SO SOU 2","D","Sheriff Special Ops Unit 2","Law Tac","Burnet County - Law Enforcement"
7182,1c0e,"Burnet PD 2","D","Police Ch. 2 Secondary","Law Dispatch","Burnet County - Burnet"
7183,1c0f,"Burnet PD 1","D","Police Ch. 1 Dispatch","Law Dispatch","Burnet County - Burnet"
7186,1c12,"Bertram PD Tac","D","Bertram Police","Law Tac","Burnet County - Law Enforcement"
7187,1c13,"Bertram PD 2","D","Bertram PD 2","Law Tac","Burnet County - Law Enforcement"
7189,1c15,"Burnet Constable","D","Constables","Law Tac","Burnet County - Law Enforcement"
7195,1c1b,"MblFalls PD Disp","D","Police Dispatch w/Granite Shoals","Law Dispatch","Burnet County - Marble Falls"
7196,1c1c,"MblFalls PD Tac1","D","Police Tactical 1","Law Tac","Burnet County - Marble Falls"
7197,1c1d,"MblFalls PD Tac1","D","Police Tactical 2","Law Tac","Burnet County - Marble Falls"
7198,1c1e,"MblFalls PD PT","D","Police Ops 1","Law Talk","Burnet County - Marble Falls"
7199,1c1f,"MblFalls PD AD","D","Police Ops 2","Law Talk","Burnet County - Marble Falls"
7204,1c24,"WR OAPD 1","D","Police Dispatch for HSB and CWS","Law Dispatch","Burnet County - Lake Area Communities"
7205,1c25,"WR OAPD Tac 1","D","Police Tac 1","Law Tac","Burnet County - Lake Area Communities"
